de,zh,example,image,hint
die Familie,家庭,Meine Familie ist groß.,,"名词, 阴性; 复数: Familien"
die Mutter,母亲,Meine Mutter ist Ärztin.,,"名词, 阴性; 复数: Mütter"
der Vater,父亲,Mein Vater arbeitet in Hamburg.,,"名词, 阳性; 复数: Väter"
die Eltern,父母,Meine Eltern wohnen in Berlin.,,"名词, 复数词"
die Tochter,女儿,Die Tochter studiert Medizin.,,"名词, 阴性; 复数: Töchter"
der Sohn,儿子,Der Sohn geht zur Schule.,,"名词, 阳性; 复数: Söhne"
die Geschwister,兄弟姐妹,Ich habe zwei Geschwister.,,"名词, 复数词"
der Bruder,兄弟,Mein Bruder spielt Fußball.,,"名词, 阳性; 复数: Brüder"
die Schwester,姐妹,Meine Schwester lernt Deutsch.,,"名词, 阴性; 复数: Schwestern"
die Frau,妻子；女人,Meine Frau ist Lehrerin.,,"名词, 阴性; 复数: Frauen"
der Mann,丈夫；男人,Mein Mann arbeitet in einer Firma.,,"名词, 阳性; 复数: Männer"
die Eltern von ...,……的父母,Die Eltern von Anna wohnen in München.,,固定短语
der Beruf,职业,Was bist du von Beruf?,,"名词, 阳性; 复数: Berufe"
arbeiten (+A/bei/in),工作,Ich arbeite in einer Bank.,,动词
der Lehrer,教师,Mein Vater ist Lehrer.,,"名词, 阳性; 复数: Lehrer"
die Lehrerin,女教师,Meine Mutter ist Lehrerin.,,"名词, 阴性; 复数: Lehrerinnen"
der Arzt,医生,Der Arzt arbeitet im Krankenhaus.,,"名词, 阳性; 复数: Ärzte"
die Ärztin,女医生,Die Ärztin hilft den Patienten.,,"名词, 阴性; 复数: Ärztinnen"
der Ingenieur,工程师,Er ist Ingenieur von Beruf.,,"名词, 阳性; 复数: Ingenieure"
die Ingenieurin,女工程师,Sie ist Ingenieurin bei Siemens.,,"名词, 阴性; 复数: Ingenieurinnen"
der Verkäufer,售货员,Der Verkäufer ist freundlich.,,"名词, 阳性; 复数: Verkäufer"
die Verkäuferin,女售货员,Die Verkäuferin arbeitet im Supermarkt.,,"名词, 阴性; 复数: Verkäuferinnen"
der Schüler,（中小学）学生,Der Schüler lernt gut.,,"名词, 阳性; 复数: Schüler"
die Schülerin,女学生（中小学）,Die Schülerin liest ein Buch.,,"名词, 阴性; 复数: Schülerinnen"
der Student,大学生,Der Student studiert Physik.,,"名词, 阳性; 复数: Studenten"
die Studentin,女大学生,Die Studentin studiert Germanistik.,,"名词, 阴性; 复数: Studentinnen"
die Universität,大学,Die Universität liegt in der Stadt.,,"名词, 阴性; 复数: Universitäten"
lernen (+A),学习,Ich lerne Deutsch.,,动词 + Akkusativ
studieren (+A),在大学学习,Er studiert Medizin.,,动词 + Akkusativ
das Fach,学科；专业,Mein Fach ist Informatik.,,"名词, 中性; 复数: Fächer"
die Sprache,语言,Welche Sprache lernst du?,,"名词, 阴性; 复数: Sprachen"
das Deutsch,德语,Ich spreche ein bisschen Deutsch.,,"名词, 中性"
das Englisch,英语,Er spricht gut Englisch.,,"名词, 中性"
das Chinesisch,汉语,Sie lernt Chinesisch.,,"名词, 中性"
sprechen (+A),说,Er spricht Deutsch und Englisch.,,动词 + Akkusativ
das Hobby,爱好,Mein Hobby ist Musik.,,"名词, 中性; 复数: Hobbys"
tanzen,跳舞,Ich tanze gern.,,动词
lesen (+A),读，阅读,Er liest ein Buch.,,动词 + Akkusativ
musik hören,听音乐,Ich höre gern Musik.,,短语
Fußball spielen,踢足球,Wir spielen Fußball im Park.,,短语
Elisabeth,伊丽莎白（女名）,Sie heißt Elisabeth.,,Vorname
Michael,米夏埃尔（男名）,Er heißt Michael.,,Vorname
Hamburg,汉堡（德国城市）,Hamburg ist eine große Stadt.,,Stadt
