de,zh,example,image,hint
Guten Morgen!,早上好！您好！,Guten Morgen!,,问候语
der Morgen,早晨,Der Morgen ist kalt.,,"名词, 阳性"
Guten Abend!,晚上好！您好！,Guten Abend!,,问候语
der Abend,晚上,Der Abend ist ruhig.,,"名词, 阳性; 复数: Abende"
Wie geht’s?,你好吗？你(身体)怎么样？,Wie geht’s?,,常用问句
Wie geht es Ihnen?,您好吗？您(身体)怎么样？,Wie geht es Ihnen?,,敬称问句
wie,怎样；如何,Wie heißt du?,,疑问词
sehr,很，非常,Sehr gut!,,副词
Und Ihnen?,您呢？,Und Ihnen?,,接话用语，敬称
Und dir?,你呢？,Und dir?,,接话用语，非敬称
auch,也；同样,Ich komme auch.,,副词
ganz,完全；十分；相当,Das ist ganz gut.,,副词
ganz gut,挺好；还好,Mir geht’s ganz gut.,,固定搭配
auf Wiedersehen,再见,Auf Wiedersehen!,,告别用语
Wie geht es dir?,你怎么样？,Wie geht es dir?,,常用问句
nicht,不；否定词,Ich bin nicht müde.,,副词
schlecht,坏的；不好的,Das Wetter ist schlecht.,,形容词
nicht schlecht,不错；还行,Nicht schlecht!,,固定表达
Es geht so.,还好；还不错；马马虎虎。,Es geht so.,,口语表达
es geht,还行；还好；还可以,Heute geht es.,,固定表达
so,这样，如此,So ist es.,,副词
na,好吧；那么；那就,Na gut.,,语气词
Alles Gute!,（祝你）一切顺利！,Alles Gute!,,祝福语
die Verzeihung,原谅；宽恕,Ich bitte um Verzeihung.,,"名词, 阴性"
Verzeihung!,请问；劳驾；对不起！,Verzeihung! Wo ist die Toilette?,,礼貌用语
ja,是；对,"Ja, gern.",,副词/答语
nein,不；不是,"Nein, danke.",,副词/答语
die Entschuldigung,原谅；抱歉,Ich sage Entschuldigung.,,"名词, 阴性; 复数: Entschuldigungen"
"Oh, Entschuldigung!",哦，对不起！请原谅！,"Oh, Entschuldigung!",,道歉用语
Heißt das … ?,这叫……吗？,Heißt das „Haus“?,,课堂用语
Ist das … ?,这是……吗？,Ist das ein Bus?,,问句模板
Sind Sie … ?,您是……？,Sind Sie Herr Li?,,敬称问句
der Bleistift,铅笔,Der Bleistift ist neu.,,"名词, 阳性; 复数: Bleistifte"
der Kugelschreiber,圆珠笔,Der Kugelschreiber schreibt gut.,,"名词, 阳性; 复数: Kugelschreiber"
das Haus,房屋,Das Haus ist groß.,,"名词, 中性; 复数: Häuser"
der Bus,公共汽车；大轿车,Der Bus kommt.,,"名词, 阳性; 复数: Busse"
das Auto,汽车,Das Auto ist schnell.,,"名词, 中性; 复数: Autos"
das Taxi,出租汽车,Das Taxi ist da.,,"名词, 中性; 复数: Taxis"
das Foto,照片,Das Foto ist schön.,,"名词, 中性; 复数: Fotos"
Vera,维拉（女名）,Sie heißt Vera.,,Vorname
Thomas,托马斯（男名）,Er heißt Thomas.,,Vorname
Peter,彼得（男名）,Er heißt Peter.,,Vorname
Jonas,约纳斯（男名）,Er heißt Jonas.,,Vorname
Bauer,鲍尔（姓氏）,Er heißt Bauer.,,Familienname
Holzmann,霍尔茨曼（姓氏）,Sie heißt Holzmann.,,Familienname
Puck,普克（姓氏）,Er heißt Puck.,,Familienname
Bode,博德（姓氏）,Er heißt Bode.,,Familienname
