de,zh,example,image,hint
Ach du liebe Zeit!,哎呀，天哪！,Ach du liebe Zeit! Ich habe den Zug fast verpasst.,,感叹语
lieb,可爱的；亲爱的,Sie ist ein lieber Mensch.,,形容词
spät,晚的；迟的,Er kommt heute spät nach Hause.,,形容词/副词
der Bahnhof,火车站,Wir treffen uns am Bahnhof.,,"名词, 阳性; 复数: Bahnhöfe"
der Wecker,闹钟,Der Wecker klingelt um sieben.,,"名词, 阳性; 复数: Wecker"
das Radio,收音机,Ich höre morgens Radio.,,"名词, 中性; 复数: Radios"
die Armbanduhr,手表,Meine Armbanduhr ist neu.,,"名词, 阴性; 复数: Armbanduhren"
von ... bis ...,从……到……,Der Kurs geht von acht bis zehn.,,时间介词短语
bis +Akk.,直到（时间/地点）,Ich bleibe bis nächsten Montag.,,介词 +Akk.
um +Akk.,在……点钟,Der Unterricht beginnt um neun.,,介词 +Akk.
früh,早的；早地,Ich stehe früh auf.,,形容词/副词
der Vormittag,上午,Am Vormittag lerne ich in der Bib.,,"名词, 阳性; 复数: Vormittage"
die Stunde,小时；课时,Die Stunde dauert 45 Minuten.,,"名词, 阴性; 复数: Stunden"
die Pünktlichkeit,准时,Pünktlichkeit ist hier sehr wichtig.,,"名词, 阴性"
fahren (+Dir.),行驶；乘车去,Ich fahre zur Uni.,,动词 + 方向
zu +Dat.,到，向；去,Ich gehe zu meinem Freund.,,介词 +Dativ
laufen (+Dir.),跑；步行去,Ich laufe nach Hause.,,动词 + 方向
das Viertel,四分之一,Es ist Viertel nach acht.,,"名词, 中性"
nach +Dat.,在……之后；（时间）……点过,Viertel nach neun.,,介词 +Dativ
einverstanden (+mit),同意,Bist du damit einverstanden?,,形容词 +mit +Dativ
pünktlich,准时的,Er ist immer pünktlich.,,形容词
immer,一直，总是,Sie kommt immer zu spät.,,副词
nie,从不，从来不,Ich trinke nie Kaffee abends.,,副词
die Person,人；个人,Nur eine Person war im Zimmer.,,"名词, 阴性; 复数: Personen"
Tut mir Leid.,（我）很抱歉。,"Tut mir Leid, ich bin zu spät.",,固定表达
vor +Dat./Akk.,在……前；……以前,Vor dem Unterricht trinke ich Tee.,,介词 +Dativ/Akk.
stehen (+Situativ),站立；（钟表）停着,Der Bus steht vor der Mensa.,,动词
halb,半,Es ist halb sieben.,,数词/副词
weg,走开；离开,Er ist schon weg.,,副词
dann,然后；那么,Wir essen und dann lernen wir.,,副词
nach/gehen (Uhr),（钟表）慢,Meine Uhr geht nach.,,可分动词
vor/gehen (Uhr),（钟表）快,Deine Uhr geht vor.,,可分动词
der Mitstudent,大学男同学,Mein Mitstudent hilft mir oft.,,"名词, 阳性; 复数: Mitstudenten"
die Mitstudentin,大学女同学,Die Mitstudentin wohnt neben mir.,,"名词, 阴性; 复数: Mitstudentinnen"
