de,zh,example,image,hint
woher,从哪里；从何处,Woher kommst du?,,疑问副词
kommen,来,Ich komme aus Deutschland.,,动词 (+Dir.)
Woher kommt X?,某某是哪里人/从哪儿来？,Woher kommt er?,,句型
sie,她,Sie kommt aus China.,,人称代词
aus + D,从……来,Sie kommt aus Berlin.,,介词短语
Sie kommt/ist aus ...,她来自……；她是……人。,Sie ist aus Japan.,,句型
was,什么,Was ist das?,,疑问代词
Was ist X?,某某是干什么的？,Was ist er von Beruf?,,句型
der Lehrer,教师,Der Lehrer ist freundlich.,,"名词, 阳性; 复数: Lehrer"
die Lehrerin,女教师,Die Lehrerin ist nett.,,"名词, 阴性; 复数: Lehrerinnen"
der Schüler,（中、小）学生,Der Schüler lernt Deutsch.,,"名词, 阳性; 复数: Schüler"
die Schülerin,女学生（中小学）,Die Schülerin schreibt.,,"名词, 阴性; 复数: Schülerinnen"
der Student,大学生,Der Student wohnt in Köln.,,"名词, 阳性; 复数: Studenten"
die Studentin,女大学生,Die Studentin studiert Biologie.,,"名词, 阴性; 复数: Studentinnen"
die Kamera,照相机,Die Kamera ist neu.,,"名词, 阴性; 复数: Kameras"
die CD,光盘,Ich höre eine CD.,,"名词, 阴性; 复数: CDs"
er,他,Er ist Lehrer.,,人称代词
sein,是,Er ist Student.,,动词 (不规则)
dort,那里,Dort ist das Haus.,,副词
das Internet,互联网,Ich lerne Deutsch im Internet.,,"名词, 中性; 复数: -"
Jutta,尤塔（女名）,Sie heißt Jutta.,,Vorname
Judith,尤迪特（女名）,Sie heißt Judith.,,Vorname
Stephan,施特凡（男名）,Er heißt Stephan.,,Vorname
Helga,海尔加（女名）,Sie heißt Helga.,,Vorname
Euler,欧拉（姓氏）,Er heißt Euler.,,Familienname
Meier,迈尔（姓氏）,Er heißt Meier.,,Familienname
Groß,格罗斯（姓氏）,Er heißt Groß.,,Familienname
Klein,克莱因（姓氏）,Er heißt Klein.,,Familienname
Keun,科因（姓氏）,Er heißt Keun.,,Familienname
Spöri,施佩里（姓氏）,Er heißt Spöri.,,Familienname
Europa,欧洲,Europa ist groß.,,Kontinent
Afrika,非洲,Afrika ist warm.,,Kontinent
Asien,亚洲,Asien ist groß.,,Kontinent
Amerika,美洲,Amerika ist weit.,,Kontinent
Deutschland,德国,Ich komme aus Deutschland.,,Land
Frankreich,法国,Ich komme aus Frankreich.,,Land
Italien,意大利,Ich komme aus Italien.,,Land
Österreich,奥地利,Ich komme aus Österreich.,,Land
Australien,澳大利亚,Ich komme aus Australien.,,Land
England,英国,Ich komme aus England.,,Land
Japan,日本,Ich komme aus Japan.,,Land
Korea,韩国,Ich komme aus Korea.,,Land
Berlin,柏林,Berlin ist schön.,,Stadt
Frankfurt,法兰克福,Frankfurt ist groß.,,Stadt
Köln,科隆,Köln liegt am Rhein.,,Stadt
Bonn,波恩,Bonn ist ruhig.,,Stadt
Leipzig,莱比锡,Leipzig ist alt.,,Stadt
Bern,伯尔尼,Bern ist die Hauptstadt der Schweiz.,,Stadt
