de,zh,example,image,hint
das Lernen,学习,Lernen macht mit einer guten Methode mehr Spaß.,,"名词, 中性"
die Gruppe,小组；班,Wir arbeiten in einer Gruppe von vier Personen.,,"名词, 阴性; 复数: Gruppen"
wichtig,重要的,Das ist für die Prüfung sehr wichtig.,,形容词
das Fach,学科；专业,Mein Lieblingsfach ist Deutsch.,,"名词, 中性; 复数: Fächer"
der Sinn,意义；含义,Ich verstehe den Sinn des Satzes.,,"名词, 阳性"
bauen (+A),建造；搭建,Wir bauen zusammen eine Wortliste.,,动词 +Akk.
bekannt (+D/ für),为……所熟知；有名的,Er ist mir bekannt und für gute Tipps bekannt.,,形容词 +Dativ / für +Akk.
das Bekannte,熟悉的东西,Das Bekannte lernt man schneller.,,"名词, 中性（名词化形容词）"
das Gedächtnis,记忆力,Mit Karteikarten trainiere ich mein Gedächtnis.,,"名词, 中性; 复数: Gedächtnisse"
die Übersetzung,翻译,Die Übersetzung hilft am Anfang.,,"名词, 阴性; 复数: Übersetzungen"
behalten (+A),记住；保留,Behalte die neuen Wörter im Kopf!,,动词 +Akk.
die Methode,方法,Welche Methode findest du besser?,,"名词, 阴性; 复数: Methoden"
die Lernmethode,学习方法,Meine Lernmethode ist jeden Tag 20 Minuten.,,"名词, 阴性; 复数: Lernmethoden"
das Alphabet,字母表；字母顺序,Wir wiederholen heute das Alphabet.,,"名词, 中性; 复数: Alphabete"
täglich,每天的；每日,Ich wiederhole täglich die Vokabeln.,,形容词/副词
der Tipp,建议；提示,Hast du einen Tipp zum Lernen?,,"名词, 阳性; 复数: Tipps"
die Wortgruppe,词组；词群,Ordne die Wörter in Wortgruppen.,,"名词, 阴性; 复数: Wortgruppen"
allein,单独；一个人,Ich lerne nicht gern allein.,,副词/形容词
besser,更好,Mit Partner lernt man besser.,,比较级（gut 的比较级）
leicht,容易的；轻的,Die Übung ist leicht.,,形容词
intelligent,聪明的,Sie ist sehr intelligent und fleißig.,,形容词
unintelligent,不聪明的,Das war eine unintelligente Entscheidung.,,形容词
vielleicht,也许，可能,Vielleicht treffen wir uns morgen.,,副词
kennen (+A),认识；了解,Kennst du dieses Wort?,,动词 +Akk.
die Bedeutung,意义；含义,Was ist die Bedeutung dieses Ausdrucks?,,"名词, 阴性; 复数: Bedeutungen"
die Busfahrkarte,公交车票,Ich kaufe eine Busfahrkarte am Automaten.,,"名词, 阴性; 复数: Busfahrkarten"
denken (+an A),想到；想念,Denkst du an die Hausaufgabe?,,动词 + an +Akk.
dabei,在旁边；此外；（表示并列）,Ich lerne und dabei höre ich Musik.,,副词
auf/schreiben (+A),写下；记下,Schreib die neuen Wörter auf!,,可分动词 +Akk.
ordnen (+A),整理；归类,Ordne die Sätze nach der Zeit.,,动词 +Akk.
der Wortschatz,词汇；词汇量,Dein Wortschatz ist schon groß.,,"名词, 阳性"
nach (+Dat.),根据；按照；往……去,Ordne die Wörter nach Themen.,,介词 +Dativ
bilden (+A),形成；造（句/词）,Bilde Sätze mit diesen Wörtern.,,动词 +Akk.
die Lernkartei,学习卡片（索引）,Ich lege eine Lernkartei für Verben an.,,"名词, 阴性; 复数: Lernkarteien"
der Karteikasten,卡片箱,Die Karten liegen im Karteikasten.,,"名词, 阳性; 复数: Karteikästen"
die Karteikarte,索引卡；学习卡片,Auf der Karteikarte steht die Übersetzung.,,"名词, 阴性; 复数: Karteikarten"
brauchen (+A),需要,Ich brauche heute nur zwei Karten.,,动词 +Akk.
kaufen (+A),买,Ich kaufe einen neuen Karteikasten.,,动词 +Akk.
die Vorderseite,正面,Auf der Vorderseite steht das deutsche Wort.,,"名词, 阴性; 复数: Vorderseiten"
die Rückseite,反面；背面,Auf der Rückseite steht die Übersetzung.,,"名词, 阴性; 复数: Rückseiten"
ohne (+Akk.),没有；无,Ohne Wörterbuch verstehe ich es nicht.,,介词 +Akk.
können,能够；会,Ich kann heute nicht telefonieren.,,情态动词
der Fehler,错误,Fehler sind beim Lernen normal.,,"名词, 阳性; 复数: Fehler"
wieder,又；再一次,Bitte lies den Text noch einmal wieder.,,副词
stecken (+A/+Dir.),把……插入；塞入,Steck die Karte in den Kasten.,,动词 +A/+方向
wirklich,真的；确实,Das ist wirklich eine gute Idee.,,形容词/副词
prima,棒极了；很好的,Dein Referat war prima!,,口语形容词/副词
die Arbeit,劳动；工作,Ich suche eine Arbeit an der Uni.,,"名词, 阴性; 复数: Arbeiten"
die Arbeiterin,女工；女劳动者,Die Arbeiterinnen beginnen um sechs.,,"名词, 阴性; 复数: Arbeiterinnen"
die Arbeitszeit,工作时间；劳动时间,Meine Arbeitszeit ist flexibel.,,"名词, 阴性; 复数: Arbeitszeiten"
chinesisch/englisch/italienisch/französisch/spanisch/europäisch/amerikanisch,中文/英语/意大利语/法语/西班牙语/欧洲的/美国的,"Wir sprechen im Kurs deutsch, aber manchmal englisch.",,形容词/语言名（作形容词用）
telefonieren (+mit),通电话,Ich telefoniere mit meiner Mutter.,,动词 +mit +Dativ
telefonisch,通过电话的；电话的,Wir bestätigen den Termin telefonisch.,,形容词/副词
der Beginn,开始；开端,Der Beginn des Kurses ist um neun.,,"名词, 阳性"
der Unterrichtsbeginn,开课；开始上课,Der Unterrichtsbeginn ist sehr pünktlich.,,"名词, 阳性"
enden (+mit),结束；告终,Der Film endet mit einer Frage.,,动词 +mit +Dativ
die Gitarre,吉他,Er spielt jeden Abend Gitarre.,,"名词, 阴性; 复数: Gitarren"
der Markt,市场；集市,Auf dem Markt ist es heute laut.,,"名词, 阳性; 复数: Märkte"
der Supermarkt,超市,Ich kaufe Obst im Supermarkt.,,"名词, 阳性; 复数: Supermärkte"
der Fernseher,电视机,Der neue Fernseher ist sehr groß.,,"名词, 阳性"
Gute Nacht!,晚安！,Gute Nacht und schlaf gut!,,常用寒暄语
hören (+A),听；听见,Ich höre gern Podcasts.,,动词 +Akk.
die Sprachwissenschaft,语言学,Er studiert Sprachwissenschaft an der Uni.,,"名词, 阴性; 复数: Sprachwissenschaften"
das Labor,实验室,Wir machen die Übung im Labor.,,"名词, 中性; 复数: Labors/Labore"
das Sprachlabor,语言实验室,Im Sprachlabor üben wir die Aussprache.,,"名词, 中性; 复数: Sprachlabors/Sprachlabore"
die Tageszeit,时段；一天中的时间,Morgens ist meine beste Tageszeit zum Lernen.,,"名词, 阴性; 复数: Tageszeiten"
der Wochentag,工作日；一周中的某天,Welcher Wochentag ist heute?,,"名词, 阳性; 复数: Wochentage"
das Verb,动词,Heute lernen wir zehn neue Verben.,,"名词, 中性; 复数: Verben"
genau,准确的；确切地,Bitte gib die genaue Seite an.,,形容词/副词
bei (+Dat.),在……处；在……人那里,Ich wohne bei meinen Eltern.,,介词 +Dativ
die Information,信息；资料,Mehr Informationen findest du online.,,"名词, 阴性; 复数: Informationen"
gleich,立刻，马上,Ich komme gleich zurück.,,副词
müde,累的；疲倦的,Nach der Arbeit bin ich müde.,,形容词
der Hunger,饥饿,Ich habe Hunger. Gehen wir essen?,,"名词, 阳性"
der Fernsehfilm,电视（影）片,Heute Abend läuft ein interessanter Fernsehfilm.,,"名词, 阳性; 复数: Fernsehfilme"
an/sehen (+A) (sich +D),观看；看,Wir sehen uns den neuen Film an.,,可分动词 +Akk.; 也可用反身结构
