de,zh,example,image,hint
die Freiheit,自由,In der Uni haben wir viel Freiheit.,,"名词, 阴性; 复数: Freiheiten"
suchen (+A),找；寻找,Ich suche meinen Schlüssel.,,动词 + Akkusativ
finden (+A),找到,Ich finde die Mensakarte nicht.,,动词 + Akkusativ
die Mensakarte,饭卡；餐卡,Ohne Mensakarte kann ich nicht zahlen.,,"名词, 阴性; 复数: Mensakarten"
der Ausweis,证件,Bitte zeigen Sie Ihren Ausweis.,,"名词, 阳性; 复数: Ausweise"
der Studentenausweis,学生证,Mit dem Studentenausweis ist der Eintritt billiger.,,"名词, 阳性; 复数: Studentenausweise"
der Schlüssel,钥匙,Der Schlüssel liegt auf dem Tisch.,,"名词, 阳性; 复数: Schlüssel"
der Rekorder,收录机,"Der Rekorder ist alt, aber funktioniert.",,"名词, 阳性"
die Kassette,磁带,Ich habe die Musik auf Kassette.,,"名词, 阴性; 复数: Kassetten"
der Kassettenrekorder,盒式收录机,Der Kassettenrekorder steht im Schrank.,,"名词, 阳性"
der Stift,笔；铅笔,Hast du einen Stift für mich?,,"名词, 阳性; 复数: Stifte"
schreiben (+A/über +A),写；写关于……,Ich schreibe einen Text über die Uni.,,动词 +A / über +A
das Blatt,纸张；页,Bitte schreibt auf ein Blatt Papier.,,"名词, 中性; 复数: Blätter"
zu (Partikel),（小品词）太，过于,Das ist zu laut.,,小品词/副词
dumm,笨的；愚蠢的,Das war eine dumme Idee.,,形容词
Ruhe bitte!,请安静！,"Ruhe bitte, wir schreiben jetzt.",,课堂用语
die Ruhe,安静；宁静,Ich lerne gern in Ruhe.,,"名词, 阴性"
besuchen (+A),拜访；参观；上（课）,Ich besuche heute meine Freundin.,,动词 + Akkusativ
leider,可惜；遗憾,Ich kann leider nicht kommen.,,副词
eure,你们的,Ist das eure Wohnung?,,物主代词
der Besuch,访问；拜访,Mein Besuch dauert nur eine Stunde.,,"名词, 阳性; 复数: Besuche"
der Freund,朋友（男）,Er ist ein guter Freund von mir.,,"名词, 阳性; 复数: Freunde"
die Freundin,女朋友；女性朋友,Sie ist meine beste Freundin.,,"名词, 阴性; 复数: Freundinnen"
der Tee,茶,Zum Frühstück trinke ich Tee.,,"名词, 阳性"
der Kaffee,咖啡,Er trinkt morgens Kaffee.,,"名词, 阳性"
die Milch,牛奶,Möchtest du Milch im Kaffee?,,"名词, 阴性"
die Kanne,壶；罐,Die Kanne ist voll mit Tee.,,"名词, 阴性; 复数: Kannen"
komisch,奇怪的；可笑的,Das riecht komisch.,,形容词
die Katze,猫,Die Katze schläft auf dem Sofa.,,"名词, 阴性; 复数: Katzen"
der Schreibtisch,写字台；书桌,Mein Laptop steht auf dem Schreibtisch.,,"名词, 阳性; 复数: Schreibtische"
die Wohnung,住宅；住房,"Die Wohnung ist klein, aber gemütlich.",,"名词, 阴性; 复数: Wohnungen"
reinkommen,进来,"Komm rein, die Tür ist offen.",,可分动词（rein + kommen）
die Pause,休息；间歇,Wir machen um zehn eine Pause.,,"名词, 阴性; 复数: Pausen"
(eine) Pause machen,休息一下,Lass uns kurz eine Pause machen.,,固定表达
trinken (+A),喝,Sie trinkt eine Tasse Tee.,,动词 + Akkusativ
die Tasse,杯（有把手）,Ich brauche noch eine Tasse.,,"名词, 阴性; 复数: Tassen"
gern,喜欢地；乐意,Ich esse gern Kuchen.,,副词
es,它；这（形式主语）,Es regnet heute.,,代词
ruhig,安静的；平静的,Bleib bitte ruhig.,,形容词
der Teller,盘子；碟子,Die Teller sind sauber.,,"名词, 阳性; 复数: Teller"
der Aschenbecher,烟灰缸,Der Aschenbecher steht auf dem Balkon.,,"名词, 阳性; 复数: Aschenbecher"
das Ei,鸡蛋,Zum Frühstück esse ich ein Ei.,,"名词, 中性; 复数: Eier"
der Tennisball,网球（球）,Der Tennisball liegt unter dem Tisch.,,"名词, 阳性; 复数: Tennisbälle"
das Feuerzeug,打火机,Hast du ein Feuerzeug?,,"名词, 中性; 复数: Feuerzeuge"
probieren (+A),尝；品尝；试试,Probier mal den Kuchen!,,动词 + Akkusativ
mal (Partikel),（语气词，缓和语气）,"Komm mal her, bitte.",,小品词
der Zucker,糖,Ich nehme keinen Zucker im Tee.,,"名词, 阳性"
das Salz,盐,Gib mir bitte das Salz.,,"名词, 中性"
mit +Dat.,与；和；带有；用……,Ich trinke Kaffee mit Milch.,,介词 + Dativ
die Zeit,时间,Ich habe heute keine Zeit.,,"名词, 阴性; 复数: Zeiten"
mitkommen,一起来；同行,Kommst du mit zur Mensa?,,可分动词（mit + kommen）
stimmen,对；正确；相符,Das stimmt genau.,,动词
von +Dat.,（所属、来源）……的；来自,Das Buch ist von meinem Freund.,,介词 + Dativ
die Lektion,课；课次,Heute beginnen wir mit Lektion 2.,,"名词, 阴性; 复数: Lektionen"
