de,zh,example,image,hint
das Zimmer,房间,Das Zimmer ist groß.,,"名词, 中性; 复数: Zimmer"
das Klassenzimmer,教室,Das Klassenzimmer ist hell.,,"名词, 中性"
ein/eine,一个,Ich habe ein Buch.,,不定冠词
der Unterricht,上课；授课,Der Unterricht beginnt um acht.,,"名词, 阳性"
der Stuhl,椅子,Der Stuhl ist bequem.,,"名词, 阳性; 复数: Stühle"
der Tisch,桌子,Der Tisch ist rund.,,"名词, 阳性; 复数: Tische"
die Landkarte,地图,Die Landkarte hängt an der Wand.,,"名词, 阴性; 复数: Landkarten"
die Zeitung,报纸,Ich lese die Zeitung.,,"名词, 阴性; 复数: Zeitungen"
die Tür,门,Die Tür ist offen.,,"名词, 阴性; 复数: Türen"
das Fenster,窗户,Das Fenster ist geschlossen.,,"名词, 中性; 复数: Fenster"
fragen (+A),"问, 提问",Ich frage den Lehrer.,,动词 + Akkusativ
die Brille,眼镜,Meine Brille ist neu.,,"名词, 阴性; 通常无复数"
die Tasche,"袋子, 包",Die Tasche ist teuer.,,"名词, 阴性; 复数: Taschen"
sagen (+A),说,Er sagt die Wahrheit.,,动词 + Akkusativ
man,人们,"Man sagt, dass Deutsch schwer ist.",,不定代词
entschuldigen (+A),原谅,Entschuldigen Sie bitte!,,动词 + Akkusativ
die Frage,问题,Ich habe eine Frage.,,"名词, 阴性; 复数: Fragen"
das Englisch,英语,Er spricht Englisch.,,"名词, 中性"
wissen (+A),知道,Ich weiß die Antwort.,,动词 + Akkusativ
richtig,正确的,Das ist richtig.,,形容词
die E-Mail,电子邮件,Ich schreibe eine E-Mail.,,"名词, 阴性; 复数: E-Mails"
buchstabieren (+A),用字母拼写,Buchstabieren Sie bitte Ihren Namen!,,动词 + Akkusativ
dein(e),你的,Das ist dein Buch.,,物主代词
du,你,Du bist freundlich.,,人称代词
der Punkt,点；句号；要点,Der Punkt ist klar.,,"名词, 阳性; 复数: Punkte"
tschüss,再见；回见,Tschüss! Bis morgen!,,告别用语
Petra,佩特拉（女名）,Sie heißt Petra.,,Vorname
Russland,俄罗斯,Er kommt aus Russland.,,Land
Holland,荷兰,Sie kommt aus Holland.,,Land
Spanien,西班牙,Er kommt aus Spanien.,,Land
Tschechien,捷克,Er kommt aus Tschechien.,,Land
München,慕尼黑,München ist schön.,,Stadt
Bremen,不来梅,Er wohnt in Bremen.,,Stadt
Zürich,苏黎世,Zürich ist in der Schweiz.,,Stadt
