de,zh,example,image,hint
"Entschuldigung, wo ist die Kasse?",打扰一下，收银台在哪里？,"Entschuldigung, wo ist die Kasse bitte?",,问路/购物用语
Ich schaue nur.,我只是看看。,"Danke, ich schaue nur.",,购物场景
Haben Sie das in Größe M?,这件有 M 码吗？,Haben Sie das T‑Shirt in Größe M?,,试衣/尺码
Kann ich das anprobieren?,我可以试穿一下吗？,Kann ich die Jacke anprobieren?,,试衣
Wo sind die Umkleidekabinen?,试衣间在哪里？,"Wo sind die Umkleidekabinen, bitte?",,试衣
Das steht dir gut.,这件很适合你。,Die Hose steht dir gut.,,评价穿着
Der Preis ist in Ordnung.,这个价格可以。,Für 25 Euro ist der Preis in Ordnung.,,价格评价
Haben Sie einen Kassenbon?,您有收据吗？,Ich brauche einen Kassenbon für die Erstattung.,,付款/售后
Kann ich mit Karte zahlen?,我可以刷卡吗？,Kann ich hier mit Karte zahlen?,,付款
Wir nehmen nur Bargeld.,我们只收现金。,"Tut mir leid, wir nehmen nur Bargeld.",,付款限制
der Verkäufer,售货员（男）,Der Verkäufer hilft mir bei der Größe.,,"名词, 阳性; 复数: Verkäufer"
die Verkäuferin,售货员（女）,Die Verkäuferin ist sehr freundlich.,,"名词, 阴性; 复数: Verkäuferinnen"
der Kunde,顾客（男）,Der Kunde wartet an der Kasse.,,"名词, 阳性; 弱变化: des Kunden"
die Kundin,顾客（女）,Die Kundin sucht eine blaue Jacke.,,"名词, 阴性; 复数: Kundinnen"
die Kleidung,衣服；服装,Ich kaufe selten Kleidung online.,,"名词, 阴性"
die Jacke,夹克；外套,Die Jacke ist mir zu klein.,,"名词, 阴性; 复数: Jacken"
der Mantel,大衣,Im Winter trage ich einen warmen Mantel.,,"名词, 阳性; 复数: Mäntel"
der Pullover,套头毛衣,Der Pullover ist aus Wolle.,,"名词, 阳性; 复数: Pullover"
das Hemd,衬衫,Das Hemd passt gut zu der Hose.,,"名词, 中性; 复数: Hemden"
die Bluse,女式衬衫,Die Bluse ist kariert.,,"名词, 阴性; 复数: Blusen"
das T‑Shirt,T 恤,Ich nehme das T‑Shirt in Schwarz.,,"名词, 中性; 复数: T‑Shirts"
die Hose,裤子,Die Hose ist mir zu eng.,,"名词, 阴性; 复数: Hosen"
der Rock,裙子,Der Rock ist zu kurz.,,"名词, 阳性; 复数: Röcke"
das Kleid,连衣裙,Das Kleid gefällt mir sehr.,,"名词, 中性; 复数: Kleider"
die Schuhe (Pl.),鞋,Diese Schuhe sind bequem.,,"名词, 复数词"
die Stiefel (Pl.),靴子,Die Stiefel sind aus Leder.,,"名词, 复数词"
die Socken (Pl.),袜子,Ich brauche neue Socken.,,"名词, 复数词"
der Schal,围巾,Der Schal ist sehr weich.,,"名词, 阳性; 复数: Schals"
die Mütze,便帽；针织帽,Die Mütze hält warm.,,"名词, 阴性; 复数: Mützen"
der Gürtel,皮带；腰带,Der Gürtel ist zu lang.,,"名词, 阳性; 复数: Gürtel"
die Handschuhe (Pl.),手套,Im Winter trage ich Handschuhe.,,"名词, 复数词"
schwarz,黑色,Ich trage gern schwarze Kleidung.,,形容词/颜色
weiß,白色,Das Hemd ist weiß.,,形容词/颜色
rot,红色,Die Jacke ist rot.,,形容词/颜色
blau,蓝色,Die Hose ist dunkelblau.,,形容词/颜色
grün,绿色,Steht dir die grüne Bluse?,,形容词/颜色
gelb,黄色,Gelbe Kleider sind auffällig.,,形容词/颜色
grau,灰色,Der Mantel ist grau.,,形容词/颜色
braun,棕色,Braune Stiefel passen immer.,,形容词/颜色
rosa,粉红色,Sie mag rosa Kleider.,,形容词/颜色
lila,紫色,Die Tasche ist lila.,,形容词/颜色
hell-,浅……（前缀）,Ich nehme das in hellblau.,,颜色前缀
dunkel-,深……（前缀）,Die Hose ist dunkelgrün.,,颜色前缀
bunt,彩色的；花哨的,Der Schal ist sehr bunt.,,形容词/颜色
kariert,格子的,Der Rock ist kariert.,,形容词/图案
gestreift,条纹的,Ich suche ein gestreiftes Hemd.,,形容词/图案
gepunktet,波点的,Die Bluse ist gepunktet.,,形容词/图案
aus Baumwolle,棉质的,Das T‑Shirt ist aus Baumwolle.,,材质表达
aus Wolle,羊毛的,Der Pullover ist aus Wolle.,,材质表达
aus Leder,皮制的,Die Tasche ist aus Leder.,,材质表达
aus Seide,丝绸的,Der Schal ist aus Seide.,,材质表达
die Größe,尺码；大小,Welche Größe tragen Sie?,,"名词, 阴性; 复数: Größen"
passen (+Dat.),合身；合适,Die Schuhe passen mir nicht.,,动词 +Dativ
zu groß / zu klein,太大 / 太小,Das ist mir zu klein.,,形容词短语
zu lang / zu kurz,太长 / 太短,Der Rock ist zu kurz.,,形容词短语
zu weit / zu eng,太宽 / 太紧,Die Hose ist zu eng.,,形容词短语
kaufen (+A),买,Ich kaufe Obst und Gemüse.,,动词 +Akk.
verkaufen (+A),卖,Der Laden verkauft nur Bio-Produkte.,,动词 +Akk.
bezahlen (+A),付款；付钱,Ich bezahle die Jacke an der Kasse.,,动词 +Akk.
kosten,花费；价格为,Wie viel kostet das?,,不及物/无人称
reduzieren (+A),降价；减少,Die Preise sind um 20% reduziert.,,动词 +Akk.
tauschen (+A),更换；交换,Kann ich die Größe tauschen?,,动词 +Akk.
zurückgeben (+A),退回；退货,Ich möchte das zurückgeben.,,动词 +Akk.
gefallen (+Dat.),喜欢；合意,Gefällt dir das Kleid?,,动词 +Dativ
stehen (+Dat.) (Kleidung),（衣服）适合,Der Mantel steht dir gut.,,动词 +Dativ
probieren (+A),试；尝试,Probier mal diese Schuhe an.,,动词 +Akk.; anprobieren(可分)
an/probieren (+A),试穿,Ich möchte die Hose anprobieren.,,可分动词 +Akk.
mitnehmen (+A),带走；随身带,Ich nehme den Beutel mit.,,可分动词 +Akk.
brauchen (+A),需要,Ich brauche eine größere Größe.,,动词 +Akk.
