de,zh,example,image,hint
die Zahl,数字,Die Zahl ist groß.,,"名词, 阴性; 复数: Zahlen"
die Straße,"街，道, 公路",Ich wohne in der Straße.,,"名词, 阴性; 复数: Straßen"
die Nummer,"号码, 编号",Meine Nummer ist 15.,,"名词, 阴性; 复数: Nummern"
die Hausnummer,门牌号码,Die Hausnummer ist 8.,,"名词, 阴性; 复数: Hausnummern"
die Postleitzahl,邮政编码,Die Postleitzahl ist 10115.,,"名词, 阴性; 复数: Postleitzahlen"
die Stadt,城市,Berlin ist eine Stadt.,,"名词, 阴性; 复数: Städte"
das Telefon,电话,Ich habe ein Telefon.,,"名词, 中性; 复数: Telefone"
die Telefonnummer,电话号码,Wie ist deine Telefonnummer?,,"名词, 阴性; 复数: Telefonnummern"
das Handy,手机,Mein Handy ist neu.,,"名词, 中性; 复数: Handys"
die Handynummer,手机号码,Wie ist deine Handynummer?,,"名词, 阴性; 复数: Handynummern"
Ihre,您的,Ist das Ihre Adresse?,,物主代词，敬称
die Adresse,地址,Meine Adresse ist Goethestraße 5.,,"名词, 阴性; 复数: Adressen"
nehmen +A,"拿, 取",Nehmen Sie bitte Platz!,,"动词, 不规则"
der Platz,广场; 座位,Der Platz ist frei.,,"名词, 阳性; 复数: Plätze"
wo,"哪里, 在什么地方",Wo wohnst du?,,疑问副词
wohnen,居住,Ich wohne in Köln.,,动词 + Dativ
jetzt,现在,Ich bin jetzt zu Hause.,,副词
in,在……里,Er wohnt in Berlin.,,介词 + Dativ/Akkusativ
Lauter bitte!,请大声点！,Lauter bitte!,,课堂用语
die Universität,大学,Die Universität ist groß.,,"名词, 阴性; 复数: Universitäten"
haben +A,有,Ich habe ein Buch.,,动词
sein(e),他的,Das ist sein Buch.,,物主代词
ihr(e),她的,Das ist ihre Tasche.,,物主代词
langsam,慢的,Er spricht langsam.,,形容词
natürlich,当然,Natürlich komme ich!,,副词
noch,"还, 仍然",Er ist noch hier.,,副词
einmal,一次,Ich war einmal in Wien.,,副词
Noch einmal bitte!,请再来一次！,Noch einmal bitte!,,课堂用语
die Firma,公司,Er arbeitet in einer Firma.,,"名词, 阴性; 复数: Firmen"
die Hochschule,高等学校,Die Hochschule ist modern.,,"名词, 阴性; 复数: Hochschulen"
das Land,国家,Das Land ist groß.,,"名词, 中性; 复数: Länder"
der Hut,帽子,Der Hut ist schön.,,"名词, 阳性; 复数: Hüte"
die Ecke,角落,Die Lampe steht in der Ecke.,,"名词, 阴性; 复数: Ecken"
Max,马克斯（男名）,Er heißt Max.,,Vorname
Hannelore,汉内洛蕾（女名）,Sie heißt Hannelore.,,Vorname
Gerhard,格尔哈德（男名）,Er heißt Gerhard.,,Vorname
Bernd,贝恩德（男名）,Er heißt Bernd.,,Vorname
Katharina,卡塔琳娜（女名）,Sie heißt Katharina.,,Vorname
Else,埃尔泽（女名）,Sie heißt Else.,,Vorname
Müller,米勒（姓氏）,Er heißt Müller.,,Familienname
Schmidt,施密特（姓氏）,Er heißt Schmidt.,,Familienname
Kramer,克拉默（姓氏）,Er heißt Kramer.,,Familienname
Fischer,菲舍尔（姓氏）,Er heißt Fischer.,,Familienname
Quant,宽特（姓氏）,Er heißt Quant.,,Familienname
Wien,维也纳,Wien ist die Hauptstadt von Österreich.,,Stadt
Neustadt,新城（地名）,Er wohnt in Neustadt.,,Stadt
Bergheim,贝格海姆（地名）,Bergheim ist klein.,,Stadt
Mittenwald,米滕瓦尔德（地名）,Mittenwald ist schön.,,Stadt
Burghausen,布尔豪森（地名）,Burghausen ist alt.,,Stadt
Feldkirchen,费尔德基兴（地名）,Er wohnt in Feldkirchen.,,Stadt
Düsseldorf,杜塞尔多夫,Düsseldorf liegt am Rhein.,,Stadt
