de,zh,example,image,hint
unser,我们的,Das ist unser Campus.,,物主代词
der Campus,校园；学校场地,Der Campus ist modern.,,"名词, 阳性"
modern,现代的；时髦的,Das Gebäude ist modern.,,形容词
das Gebäude,楼；建筑物,Das Gebäude hat fünf Stockwerke.,,"名词, 中性; 复数: Gebäude"
rechts,右边,Rechts ist die Bibliothek.,,副词
links,左边,Links ist die Mensa.,,副词
erst,仅仅；才；刚才；首先,"Erst lernen wir, dann üben wir.",,副词
das Sekretariat,办公室；秘书处,Das Sekretariat ist im ersten Stock.,,"名词, 中性; 复数: Sekretariate"
der Hörsaal,大教室；阶梯教室,Der Hörsaal ist voll.,,"名词, 阳性; 复数: Hörsäle"
das Studentenwohnheim,大学生宿舍,Ich wohne im Studentenwohnheim.,,"名词, 中性; 复数: Studentenwohnheime"
neu,新的,Ich habe ein neues Wörterbuch.,,形容词
die Mensa,学生食堂,Wir essen in der Mensa.,,"名词, 阴性; 复数: Mensen"
die Abteilung,部门；科；系,Die Deutschabteilung ist im Gebäude A.,,"名词, 阴性; 复数: Abteilungen"
die Deutschabteilung,德语系；德语部,Ich arbeite in der Deutschabteilung.,,"名词, 阴性"
groß,大的,Die Stadt ist groß.,,形容词
klein,小的,Das Zimmer ist klein.,,形容词
die Bibliothek,图书馆,Ich gehe in die Bibliothek.,,"名词, 阴性; 复数: Bibliotheken"
die Klasse,班级,Unsere Klasse ist freundlich.,,"名词, 阴性; 复数: Klassen"
der Sportplatz,操场,Wir treffen uns auf dem Sportplatz.,,"名词, 阳性; 复数: Sportplätze"
der Doktor (Dr.),博士；医生,Der Doktor kommt gleich.,,"名词, 阳性"
der Professor,教授,Der Professor unterrichtet Grammatik.,,"名词, 阳性; 复数: Professoren"
unterrichten (+A),教；授课,Er unterrichtet die Klasse 1.,,动词 + Akkusativ
kein,没有,Ich habe kein Auto.,,否定词（不定冠词变化）
kein ... mehr,不再……,Ich trinke keinen Kaffee mehr.,,固定搭配
jung,年轻的,Die Studenten sind jung.,,形容词
doch,（语气词）强调或转折；当然,Komm doch mit!,,语气词/副词
der Junge,男孩；少年,Der Junge spielt Ball.,,"名词, 阳性; 复数: Jungen"
Na ja,那好吧；就这样吧,"Na ja, machen wir so.",,口语语气词
der Sekretär,秘书（男）,Der Sekretär hilft dem Professor.,,"名词, 阳性; 复数: Sekretäre"
das Fahrrad,自行车,Ich fahre jeden Tag Fahrrad.,,"名词, 中性; 复数: Fahrräder"
kaputt,坏的；破的,Mein Handy ist kaputt.,,形容词
erzählen (+A/von +D),叙述；讲述,Er erzählt eine Geschichte.,,动词 +A/ von +D
der Deutschlehrer,德语教师（男）,Der Deutschlehrer ist streng.,,"名词, 阳性"
das Lehrbuch,教科书,Das Lehrbuch ist neu.,,"名词, 中性; 复数: Lehrbücher"
der Dialog,对话,Der Dialog im Unterricht ist kurz.,,"名词, 阳性; 复数: Dialoge"
im Unterricht,在课堂上；上课时,Wir sprechen im Unterricht Deutsch.,,短语
laut,大声的,Bitte sprich nicht so laut.,,形容词/副词
deutlich,清楚的；明确的,Bitte sprechen Sie deutlich.,,形容词/副词
öffnen (+A),打开,Er öffnet die Tür.,,动词 + Akkusativ
die Seite,页；一面,Lesen Sie die Seite zehn.,,"名词, 阴性; 复数: Seiten"
sprechen (+A/über +A),说；谈论,Wir sprechen über das Thema.,,动词 +A / über +A
das Wort,字；词,Wie schreibt man dieses Wort?,,"名词, 中性; 复数: Wörter/Worte"
machen (+A),做,Wir machen die Übung 3.,,动词 + Akkusativ
die Übung,练习,Die Übung ist leicht.,,"名词, 阴性; 复数: Übungen"
leise,轻声的；小声的,Bitte seid leise!,,形容词/副词
beginnen (+A/mit +D),开始,Der Unterricht beginnt um neun.,,动词 +A / mit +D
lesen (+A),读；阅读,Sie liest den Text.,,动词 + Akkusativ
Aha!,啊哈！原来如此！,"Aha, jetzt verstehe ich.",,感叹词
der Singular,单数,‚Haus‘ steht im Singular.,,"名词, 阳性"
der Plural,复数,‚Häuser‘ ist der Plural von ‚Haus‘.,,"名词, 阳性"
verstehen (+A),理解；明白,Ich verstehe die Frage.,,动词 + Akkusativ
wiederholen (+A),重复；复习,Bitte wiederholen Sie den Satz.,,动词 + Akkusativ
das Studium,（在大学的）学习,Sie beginnt ihr Studium in Mannheim.,,"名词, 中性; 复数 selten"
schließen (+A),关；合上,Er schließt das Fenster.,,动词 + Akkusativ
die Antwort,回答,Die Antwort ist richtig.,,"名词, 阴性; 复数: Antworten"
antworten (+D),回答,Er antwortet dem Lehrer.,,动词 + Dativ
der Satz,句子,Der Satz ist lang.,,"名词, 阳性; 复数: Sätze"
falsch,错误的,Die Antwort ist falsch.,,形容词
aber,但是；不过,"Ich komme, aber später.",,连词
er,他,Er ist Student.,,人称代词
die Sprache,语言,Welche Sprache lernst du?,,"名词, 阴性; 复数: Sprachen"
die Wissenschaft,科学,Die Wissenschaft ist wichtig.,,"名词, 阴性; 复数: Wissenschaften"
später,以后；稍后,Wir sprechen später weiter.,,副词
der Arbeiter,工人,Der Arbeiter arbeitet im Werk.,,"名词, 阳性; 复数: Arbeiter"
Vielen Dank!,多谢！非常感谢！,Vielen Dank für Ihre Hilfe!,,致谢用语
am Telefon,在电话里,Er spricht am Telefon.,,固定搭配
wann,什么时候,Wann beginnt der Kurs?,,疑问词
nach +Dat.,向；到；在……之后,Wir fahren nach Heidelberg.,,介词 + Dativ
nach Nanjing kommen,来南京,Er kommt nach Nanjing.,,固定表达
zu +Dat.,到；向；给,Ich gehe zu meinem Freund.,,介词 + Dativ
die Computertechnik,计算机技术,Sie studiert Computertechnik.,,"名词, 阴性"
schnell,快的,Der Zug ist schnell.,,形容词/副词
üben (+A),练习,Wir üben die Aussprache.,,动词 + Akkusativ
das Wörterbuch,字典；词典,Ich schaue im Wörterbuch nach.,,"名词, 中性; 复数: Wörterbücher"
der Koffer,箱子,Der Koffer ist schwer.,,"名词, 阳性; 复数: Koffer"
der Ball,球,Der Junge spielt mit dem Ball.,,"名词, 阳性; 复数: Bälle"
das Baby,婴儿,Das Baby schläft.,,"名词, 中性; 复数: Babys"
Ludwigshafen,路德维希港,Er arbeitet in Ludwigshafen.,,Stadt
Heidelberg,海德堡,Heidelberg ist sehr schön.,,Stadt
Mannheim,曼海姆,Sie studiert in Mannheim.,,Stadt
