de,zh,example,image,hint
wer,谁,Wer ist das?,,疑问代词
Wer ist das?,这是谁？,Wer ist das?,,常用问句
das,这,Das ist Anna.,,指示代词
Das ist …,这是……,Das ist ein Buch.,,句型
Guten Tag!,您好！你好！,Guten Tag!,,问候语
Tag!,你好！,Tag!,,口语，省略形式
gut,好,Das ist gut.,,形容词
ich,我,Ich bin Uta.,,人称代词
heißen,名叫；叫做,Ich heiße Hans.,,动词
Ich heiße …,我叫……,Ich heiße Udo.,,句型
Wie bitte?,您说什么？,Wie bitte?,,礼貌用语
Mein Name ist …,我的名字是……,Mein Name ist Gabi.,,句型
mein,我的,Das ist mein Buch.,,物主代词
ich bin …,我是……,Ich bin Anna.,,句型
und,和；与,Hans und Anna.,,连词
Sie,您,Wie heißen Sie?,,敬称
Und Sie?,您呢？,Und Sie?,,接话用语
Und das?,这个呢？,Und das?,,接话用语
Hallo!,喂！你好！,Hallo!,,招呼语
Wie heißt das da auf Deutsch?,这用德语怎么说？,Wie heißt das da auf Deutsch?,,课堂用语
da,那儿；这儿（指近处）,Da ist die Lampe.,,副词/指示
Das heißt …,这叫做……,Das heißt Lampe.,,句型
hier,这里,Hier ist das Heft.,,副词
danke,谢谢,Danke!,,礼貌用语
Ich weiß nicht.,我不知道。,Ich weiß nicht.,,常用句
Was heißt … auf Chinesisch?,……汉语怎么说？,Was heißt „Uhr“ auf Chinesisch?,,课堂用语
(das) Deutsch,德语,auf Deutsch,,名词/语言名
auf Deutsch,用德语,Sagen Sie es auf Deutsch.,,固定搭配
bitte,请；不客气,Bitte?,,礼貌用语
(das) Chinesisch,汉语,auf Chinesisch,,名词/语言名
der Tag,白天；日子,Tag!,,"名词, 阳性; 复数: Tage"
der Herr,先生,"Guten Tag, Herr Zhang.",,"名词, 阳性; 复数: Herren"
die Frau,妇女；太太；夫人,Frau Li,,"名词, 阴性; 复数: Frauen"
der Name,名字,Mein Name ist Anna.,,"名词, 阳性; 复数: Namen"
der Mann,男人；丈夫,Er ist ein Mann.,,"名词, 阳性; 复数: Männer"
die Tafel,黑板,Die Tafel ist grün.,,"名词, 阴性; 复数: Tafeln"
das Heft,练习本；本子,Das Heft ist hier.,,"名词, 中性; 复数: Hefte"
die Uhr,表；钟,Die Uhr ist neu.,,"名词, 阴性; 复数: Uhren"
das Buch,书,Das Buch ist da.,,"名词, 中性; 复数: Bücher"
das Bild,图片；图画,Das Bild ist schön.,,"名词, 中性; 复数: Bilder"
die Lampe,灯,Die Lampe ist hell.,,"名词, 阴性; 复数: Lampen"
das Papier,纸,"Papier, bitte.",,"名词, 中性; 通常无复数/不可数"
der Computer,电脑,Der Computer ist neu.,,"名词, 阳性; 复数: Computer"
die Wand,墙,Die Wand ist weiß.,,"名词, 阴性; 复数: Wände"
die Hand,手,Die Hand tut weh.,,"名词, 阴性; 复数: Hände"
Uta,乌塔（女名）,Ich heiße Uta.,,Vorname
Rudi,鲁迪（男名）,Er heißt Rudi.,,Vorname
Anna,安娜（女名）,Sie heißt Anna.,,Vorname
Anita,安妮塔（女名）,Sie heißt Anita.,,Vorname
Hans,汉斯（男名）,Er heißt Hans.,,Vorname
Udo,乌多（男名）,Er heißt Udo.,,Vorname
Dieter,迪特（男名）,Er heißt Dieter.,,Vorname
Gabi,加比（女名）,Sie heißt Gabi.,,Vorname
Kuhn,库恩（姓氏）,Er heißt Kuhn.,,Familienname
Mai,麦/迈（姓氏）,Sie heißt Mai.,,Familienname
Kant,康德（姓氏）,Er heißt Kant.,,Familienname
Bamm,班姆（姓氏）,Er heißt Bamm.,,Familienname
Kittmann,基特曼（姓氏）,Er heißt Kittmann.,,Familienname
